01  120161011 86                                                                
02000000051264680000000000030008763        00057220    5165412016101020001188   
020000000512674700000000000150067335       00118295    6301112016101020001188   
020000000512674600000000000150067335       00118295    6404912016101020001188   
020000000512676600000000000150067335       00118295    6431912016101020001188   
020000000512692100000000000300058644       00099277    8330212016101020001188   
020000000512706400000000000300043827       00069159    8594012016101020001188   
020000000512708700000000000300043827       00069159    8666512016101020001188   
020000000512350100000000000195031344       00052181    0295912016101020001188   
020000000512368800000000000458071478       00126795    0437112016101020001188   
020000000512695700000000000300061357       00105174    0520212016101020001188   
020000000512618400000000000856050101       00080300    2083112016101020001188   
020000000512765000000000000500053004       00123697    2344912016101020001188   
020000000511876500000000000150069413       00122672    2575312016101020001188   
020000000510309300000000000600069067       00122060    2731612016101020001188   
020000000512771200000000000300071654       00134348    2759112016101020001188   
020000000512781400000000000199334525       00054667    3402212016101020001188   
020000000512783600000000000260071644       00133611    3474312016101020001188   
020000000512784800000000000499053004       00123697    4976212016101020001188   
020000000512807000000000001100065496       00131708    5702312016101020001188   
020000000512798000000000000300068276       00120318    5921312016101020001188   
020000000512816400000000000150064045       00111163    6007712016101020001188   
020000000512828800000000000630029317       00119123    6078622016101020001188   
020000000512833100000000000200067554       00118788    6755422016101020001188   
020000000512814300000000000100070767       00125391    7177322016101020001188   
020000000512589700000000000660033917       00088155    7573122016101020001188   
020000000512565400000000000500033917       00088155    7632722016101020001188   
020000000512860400000000000300011708       00096232    7731012016101020001188   
020000000512863900000000000200035586       00105168    7936422016101020001188   
020000000512833500000000000300067554       00118788    8007322016101020001188   
020000000512538700000000000300064785       00112839    8689512016101020001188   
020000000512579500000000000300064785       00112839    8808312016101020001188   
020000000512911900000000000700069412       00132999    0779312016101020001188   
020000000512907700000000000300058644       00099277    1224412016101020001188   
020000000512931100000000000325073988       00132630    1440112016101020001188   
020000000512933900000000000200071976       00127721    1688022016101020001188   
020000000512929000000000000300069483       00122775    1912622016101020001188   
020000000512941200000000000300065307       00114027    2056212016101020001188   
020000000512943100000000000300065307       00114027    2076612016101020001188   
020000000512951800000000000260073988       00132630    2462512016101020001188   
020000000512886700000000000200036868       00093271    2581022016101020001188   
020000000512971000000000000300058644       00099277    3525612016101020001188   
020000000512977500000000000150073209       00130397    3724822016101020001188   
020000000512980500000000000700072946       00130411    3734722016101020001188   
020000000512788000000000000390048254       00076682    4142512016101020001188   
020000000512994700000000000260043827       00069159    4267812016101020001188   
020000000512332400000000000300063533       00114400    4896022016101020001188   
020000000512999400000000000300067554       00118788    4901922016101020001188   
020000000513009900000000000260065307       00114027    5052512016101020001188   
020000000513007900000000000200061707       00124422    5194622016101020001188   
020000000512913700000000000150066645       00116802    5337112016101020001188   
020000000512914700000000000150066645       00116802    5366012016101020001188   
020000000513025600000000000300056969       00095751    5802812016101020001188   
020000000513021300000000000150066645       00116802    6142812016101020001188   
020000000513022300000000000150066645       00116802    6157912016101020001188   
020000000513034000000000000300044206       00069759    6399312016101020001188   
020000000513018900000000000300059645       00101562    6494422016101020001188   
02000000051284270000000000031504367        00107306    7134522016101020001188   
020000000513036300000000000150034068       00053896    7158312016101020001188   
020000000513045500000000000150059645       00101562    7382022016101020001188   
020000000513054600000000000300073778       00131995    7421812016101020001188   
020000000509053700000000000600034396       00054456    7608312016101020001188   
020000000513063600000000000300067253       00119165    7872212016101020001188   
020000000513065000000000000150067253       00119165    7955112016101020001188   
020000000513064200000000000800058543       00130518    8006512016101020001188   
020000000513003900000000000260068695       00121303    8610312016101020001188   
020000000512871700000000000319035538       00127908    8628812016101020001192   
020000000513036700000000000200057231       00124241    9318322016101020001188   
020000000513087200000000000300064626       00112540    0903222016101020001188   
020000000513106700000000000260065307       00114027    1084012016101020001188   
020000000512858800000000000300058644       00099277    1361112016101020001188   
020000000513110200000000000300056969       00095751    1362112016101020001188   
020000000513110000000000000750073778       00131995    1368212016101020001188   
020000000513089400000000000300068747       00121378    1708422016101020001188   
020000000513108600000000000300060741       00103965    2861122016101020001188   
020000000513124500000000000300064665       00131262    3024322016101020001188   
020000000513054400000000000200065829       00124752    3210422016101020001188   
020000000513093400000000000700062020       00106611    4172922016101020001188   
02000000051294380000000000025004230        00129856    4184312016101020001188   
020000000513136600000000000300065722       00134104    4226912016101020001188   
020000000513143200000000000300063829       00110617    4946412016101020001188   
020000000513148400000000000300065307       00114027    5284212016101020001188   
020000000513168800000000000100053156       00124385    7205622016101020001199   
020000000511637100000000000399065495       00114521    8042822016101020001188   
020000000513177700000000000300063829       00110617    8046312016101020001188   
020000000513181100000000000300047987       00097009    8135922016101020001188   
020000000513097500000000000100062020       00106611    9513122016101020001188   
